title,price_gbp,rating,category,availability
A Light in the Attic,£51.77,3,Poetry,In stock
Tipping the Velvet,£53.74,1,Historical Fiction,In stock
Soumission,£50.10,1,Fiction,In stock
Sharp Objects,£47.82,4,Mystery,In stock
Sapiens: A Brief History of Humankind,£54.23,5,History,In stock
The Requiem Red,£22.65,1,Young Adult,In stock
The Dirty Little Secrets of Getting Your Dream Job,£33.34,4,Business,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,3,Default,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,4,Default,In stock
The Black Maria,£52.15,1,Poetry,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,2,Default,In stock
Shakespeare's Sonnets,£20.66,4,Poetry,In stock
Set Me Free,£17.46,5,Young Adult,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,5,Sequential Art,In stock
Rip it Up and Start Again,£35.02,5,Music,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,3,Music,In stock
Olio,£23.88,1,Poetry,In stock
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,1,Science Fiction,In stock
Libertarianism for Beginners,£51.33,2,Politics,In stock
It's Only the Himalayas,£45.17,2,Travel,In stock
In Her Wake,£12.84,1,Thriller,In stock
How Music Works,£37.32,2,Music,In stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,3,Food and Drink,In stock
Chase Me (Paris Nights #2),£25.27,5,Romance,In stock
Black Dust,£34.53,5,Romance,In stock
Birdsong: A Story in Pictures,£54.64,3,Childrens,In stock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,3,Default,In stock
Aladdin and His Wonderful Lamp,£53.13,3,Default,In stock
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,5,Nonfiction,In stock
Wall and Piece,£44.18,4,Art,In stock
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,5,Spirituality,In stock
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,3,Nonfiction,In stock
The Elephant Tree,£23.82,5,Thriller,In stock
The Bear and the Piano,£36.89,1,Childrens,In stock
Sophie's World,£15.94,5,Philosophy,In stock
Penny Maybe,£33.29,3,Default,In stock
Maude (1883-1993):She Grew Up with the country,£18.02,2,Default,In stock
"In a Dark, Dark Wood",£19.63,1,Mystery,In stock
Behind Closed Doors,£52.22,4,Thriller,In stock
You can't bury them all: Poems,£33.63,2,Poetry,In stock
Slow States of Collapse: Poems,£57.31,3,Poetry,In stock
Reasons to Stay Alive,£26.41,2,Nonfiction,In stock
Private Paris (Private #10),£47.61,5,Fiction,In stock
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,5,Nonfiction,In stock
Without Borders (Wanderlove #1),£45.07,2,New Adult,In stock
When We Collided,£31.77,1,Contemporary,In stock
"We Love You, Charlie Freeman",£50.27,5,Fiction,In stock
Untitled Collection: Sabbath Poems 2014,£14.27,4,Poetry,In stock
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,4,Nonfiction,In stock
Unicorn Tracks,£18.78,3,Fantasy,In stock
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,1,History,In stock
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,1,Sequential Art,In stock
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,3,Nonfiction,In stock
This One Summer,£19.49,4,Sequential Art,In stock
Thirst,£17.27,5,Fiction,In stock
The Torch Is Passed: A Harding Family Story,£19.09,1,Add a comment,In stock
The Secret of Dreadwillow Carse,£56.13,1,Childrens,In stock
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,1,Food and Drink,In stock
The Past Never Ends,£56.50,4,Mystery,In stock
The Natural History of Us (The Fine Art of Pretending #2),£45.22,3,Young Adult,In stock
The Nameless City (The Nameless City #1),£38.16,4,Sequential Art,In stock
The Murder That Never Was (Forensic Instincts #5),£54.11,3,Fiction,In stock
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,4,Science,In stock
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,4,Add a comment,In stock
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,3,Nonfiction,In stock
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,5,Default,In stock
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,1,Nonfiction,In stock
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,1,Nonfiction,In stock
The Death of Humanity: and the Case for Life,£58.11,4,Philosophy,In stock
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,3,Health,In stock
The Art Forger,£40.76,3,Add a comment,In stock
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,1,History,In stock
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,5,Spirituality,In stock
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,4,Nonfiction,In stock
Soul Reader,£39.58,2,Default,In stock
Security,£39.25,2,Horror,In stock
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,3,Fantasy,In stock
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,2,Sequential Art,In stock
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,2,Nonfiction,In stock
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,3,Sequential Art,In stock
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,5,Sequential Art,In stock
Princess Between Worlds (Wide-Awake Princess #5),£13.34,5,Fantasy,In stock
"Pop Gun War, Volume 1: Gift",£18.97,1,Sequential Art,In stock
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,2,History,In stock
Patience,£10.16,3,Sequential Art,In stock
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,4,Sequential Art,In stock
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,1,Sequential Art,In stock
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,1,Self Help,In stock
On a Midnight Clear,£14.07,3,Add a comment,In stock
Obsidian (Lux #1),£14.86,2,Young Adult,In stock
My Paris Kitchen: Recipes and Stories,£33.37,2,Food and Drink,In stock
Masks and Shadows,£56.40,2,Fantasy,In stock
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,4,Food and Drink,In stock
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,2,Sequential Art,In stock
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,3,Sequential Art,In stock
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,2,Sequential Art,In stock
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,1,Food and Drink,In stock
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,2,Add a comment,In stock
Join,£35.67,5,Science Fiction,In stock
In the Country We Love: My Family Divided,£22.00,4,Nonfiction,In stock
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,5,Science,In stock
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,2,Sequential Art,In stock
I am a Hero Omnibus Volume 1,£54.63,3,Sequential Art,In stock
How to Be Miserable: 40 Strategies You Already Use,£46.03,1,Self Help,In stock
Her Backup Boyfriend (The Sorensen Family #1),£33.97,1,Romance,In stock
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,2,Sequential Art,In stock
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,3,Historical Fiction,In stock
First and First (Five Boroughs #3),£15.97,4,Romance,In stock
Fifty Shades Darker (Fifty Shades #2),£21.96,1,Romance,In stock
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,2,Nonfiction,In stock
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,2,Religion,In stock
Danganronpa Volume 1,£51.99,4,Sequential Art,In stock
Crown of Midnight (Throne of Glass #2),£43.29,3,Fantasy,In stock
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,4,Sequential Art,In stock
Camp Midnight,£17.08,4,Sequential Art,In stock
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,5,Nonfiction,In stock
Burning,£28.81,3,Young Adult,In stock
Bossypants,£49.46,2,Default,In stock
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,2,Sequential Art,In stock
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,2,Fantasy,In stock
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,1,Nonfiction,In stock
A World of Flavor: Your Gluten Free Passport,£42.95,1,Default,In stock
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,5,Default,In stock
A Murder in Time,£16.64,1,Mystery,In stock
A Flight of Arrows (The Pathfinders #2),£55.53,5,Historical Fiction,In stock
A Fierce and Subtle Poison,£28.13,4,Young Adult,In stock
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,1,Fantasy,In stock
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,5,Christian,In stock
You Are What You Love: The Spiritual Power of Habit,£21.87,4,Religion,In stock
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,4,Science Fiction,In stock
Tuesday Nights in 1980,£21.04,2,Fiction,In stock
Tracing Numbers on a Train,£41.60,3,Default,In stock
Throne of Glass (Throne of Glass #1),£35.07,3,Fantasy,In stock
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,1,History,In stock
Thirteen Reasons Why,£52.72,1,Default,In stock
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08,4,Childrens,In stock
The Wedding Dress,£24.12,1,Romance,In stock
The Vacationers,£42.15,4,Fiction,In stock
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,5,Business,In stock
The Stranger,£17.44,4,Philosophy,In stock
The Shadow Hero (The Shadow Hero),£33.14,1,Sequential Art,In stock
The Secret (The Secret #1),£27.37,4,Default,In stock
The Regional Office Is Under Attack!,£51.36,5,Fiction,In stock
The Psychopath Test: A Journey Through the Madness Industry,£36.00,2,Default,In stock
The Project,£10.65,1,Science Fiction,In stock
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,2,Nonfiction,In stock
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,2,Nonfiction,In stock
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,5,Food and Drink,In stock
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,4,Mystery,In stock
The Mistake (Off-Campus #2),£43.29,3,New Adult,In stock
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85,1,New Adult,In stock
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,2,Food and Drink,In stock
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,1,Crime,In stock
The Kite Runner,£41.82,4,Default,In stock
The House by the Lake,£36.95,1,Historical Fiction,In stock
The Glittering Court (The Glittering Court #1),£44.28,1,Fantasy,In stock
The Girl on the Train,£55.02,2,Default,In stock
The Genius of Birds,£17.24,1,Nonfiction,In stock
The Emerald Mystery,£23.15,2,Default,In stock
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,1,Food and Drink,In stock
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00,3,Default,In stock
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,5,Nonfiction,In stock
The Art of War,£33.34,5,Default,In stock
The Argonauts,£10.93,2,Autobiography,In stock
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,3,Business,In stock
Suddenly in Love (Lake Haven #1),£55.99,2,Romance,In stock
Something More Than This,£16.24,4,Romance,In stock
Soft Apocalypse,£26.12,2,Science Fiction,In stock
So You've Been Publicly Shamed,£12.23,2,Nonfiction,In stock
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,2,Business,In stock
"Shobu Samurai, Project Aryoku (#3)",£29.06,3,Add a comment,In stock
Secrets and Lace (Fatal Hearts #1),£20.27,1,Default,In stock
Scarlett Epstein Hates It Here,£43.55,5,Young Adult,In stock
Romero and Juliet: A Tragic Tale of Love and Zombies,£36.94,1,Default,In stock
Redeeming Love,£20.47,5,Christian Fiction,In stock
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,£41.06,1,Default,In stock
Poems That Make Grown Women Cry,£14.19,4,Poetry,In stock
"Nightingale, Sing",£38.28,1,Young Adult,In stock
Night Sky with Exit Wounds,£41.05,1,Poetry,In stock
Mrs. Houdini,£30.25,5,Historical Fiction,In stock
Modern Romance,£28.26,5,Add a comment,In stock
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),£10.76,1,Default,In stock
Louisa: The Extraordinary Life of Mrs. Adams,£16.85,2,Biography,In stock
Little Red,£13.47,3,Childrens,In stock
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,5,Young Adult,In stock
Large Print Heart of the Pride,£19.15,2,Default,In stock
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,4,Womens Fiction,In stock
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,1,Fantasy,In stock
Grumbles,£22.16,2,Default,In stock
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,4,Travel,In stock
Frostbite (Vampire Academy #2),£29.99,5,Young Adult,In stock
Follow You Home,£21.36,1,Horror,In stock
First Steps for New Christians (Print Edition),£29.00,1,Default,In stock
Finders Keepers (Bill Hodges Trilogy #2),£53.53,5,Fiction,In stock
"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62,4,Sequential Art,In stock
Eureka Trivia 6.0,£54.59,4,Default,In stock
Drive: The Surprising Truth About What Motivates Us,£34.95,4,Default,In stock
Done Rubbed Out (Reightman & Bailey #1),£37.72,5,Default,In stock
Doing It Over (Most Likely To #1),£35.61,3,Romance,In stock
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,3,Food and Drink,In stock
